Date,temperature,Humidity,soilMoisture,Predicted_Length,Predicted_Growth,Actual_Length,Actual_Growth,Predicted_Length2,Predicted_Growth2,,,,,
"Wednesday,-December-20-2023-09:50:132",50.7,43,34.48,,,13,0,13,0,,,,,
"Wednesday,-December-20-2023-09:50:133",60.8,33,36.83,,,13.4,0.4,13.09,0.09,,,,,
"Wednesday,-December-20-2023-09:50:134",60.1,37,33.99,,,13.8,0.4,13.21,0.12,,,,,
"Wednesday,-December-20-2023-09:50:135",43.9,66,34.48,,,14.2,0.4,13.33,0.12,,,,,
"Wednesday,-December-20-2023-09:50:136",35.6,76,33.97,,,14.6,0.4,13.47,0.14,,,,,
"Wednesday,-December-20-2023-09:50:137",31.3,79,38.29,,,15.06,0.46,13.66,0.19,,,,,
"Wednesday,-December-20-2023-09:50:138",28.9,80,36.92,,,15.52,0.46,14,0.34,,,,,
"Wednesday,-December-20-2023-09:50:139",28.9,78,38.1,,,15.98,0.46,14.38,0.38,,,,,
"Wednesday,-December-20-2023-09:50:140",28.1,77,36.92,,,16.44,0.46,14.8,0.42,,,,,
"Wednesday,-December-20-2023-09:50:141",27.6,78,36.8,,,16.9,0.46,15.23,0.43,,,,,
"Wednesday,-December-20-2023-09:50:142",27.6,77,36.14,,,17.36,0.46,15.66,0.43,,,,,
"Wednesday,-December-20-2023-09:50:143",27.6,78,36.31,,,17.82,0.46,16.09,0.43,,,,,
"Wednesday,-December-20-2023-09:50:144",27.7,77,36.09,,,18.28,0.46,16.52,0.43,,,,,
"Wednesday,-December-20-2023-09:50:145",27.6,78,36,,,18.74,0.46,16.95,0.43,,,,,
"Wednesday,-December-20-2023-09:50:146",27.2,78,35.53,,,19.2,0.46,17.38,0.43,,,,,
"Wednesday,-December-20-2023-09:50:147",27.6,77,35.75,,,19.66,0.46,17.81,0.43,,,,,
"Wednesday,-December-20-2023-09:50:148",27.6,77,36.29,,,20.12,0.46,18.24,0.43,,,,,
"Wednesday,-December-20-2023-09:50:149",26.7,78,35.41,,,20.58,0.46,18.67,0.43,,,,,
"Wednesday,-December-20-2023-09:50:150",28,75,35.29,,,21.04,0.46,19.1,0.43,,,,,
"Wednesday,-December-20-2023-09:50:151",32.4,70,32.8,,,21.5,0.46,19.52,0.42,,,,,
"Wednesday,-December-20-2023-09:50:152",41.6,55,34.53,,,22.09,0.59,19.93,0.41,,,,,
"Wednesday,-December-20-2023-09:50:153",48.2,46,33.33,,,22.68,0.59,20.29,0.36,,,,,
"Wednesday,-December-20-2023-09:50:154",48.3,49,31.4,,,23.27,0.59,20.65,0.36,,,,,
"Wednesday,-December-20-2023-09:50:155",60.1,27,34.63,,,23.86,0.59,20.93,0.28,,,,,
"Wednesday,-December-20-2023-09:50:156",55,45,36,,,24.45,0.59,21.26,0.33,,,,,
"Tuesday,-December-26-2023-16:11:30",49.8,49,34.51,,,24.8625,0.4125,21.57,0.31,,,,,
"Tuesday,-December-26-2023-17:11:29",38,68,34.53,,,25.275,0.4125,21.97,0.4,,,,,
"Tuesday,-December-26-2023-18:11:29",36.9,66,34.58,,,25.6875,0.4125,22.42,0.45,,,,,
"Tuesday,-December-26-2023-19:11:29",32.3,71,38.27,,,26.1,0.4125,22.9,0.48,,,,,
"Tuesday,-December-26-2023-20:11:29",28.9,76,37.09,,,26.57272727,0.472727273,23.37,0.47,,,,,
"Tuesday,-December-26-2023-21:11:29",28.5,76,35.92,,,27.04545455,0.472727273,23.84,0.47,,,,,
"Tuesday,-December-26-2023-22:11:29",27.6,77,35.53,,,27.51818182,0.472727273,24.31,0.47,,,,,
"Tuesday,-December-26-2023-23:11:28",28,76,34.75,,,27.99090909,0.472727273,24.77,0.46,,,,,
"Wednesday,-December-27-2023-00:11:28",27.6,78,35.36,,,28.46363636,0.472727273,25.23,0.46,,,,,
"Wednesday,-December-27-2023-01:11:28",27.5,78,35.16,,,28.93636364,0.472727273,25.7,0.47,,,,,
"Wednesday,-December-27-2023-02:11:28",27.1,78,35.02,,,29.40909091,0.472727273,26.17,0.47,,,,,
"Wednesday,-December-27-2023-03:11:28",27.1,78,34.99,,,29.88181818,0.472727273,26.64,0.47,,,,,
"Wednesday,-December-27-2023-04:11:28",27.1,79,35.56,,,30.35454545,0.472727273,27.1,0.46,,,,,
"Wednesday,-December-27-2023-06:11:27",26.7,79,35.65,,,30.82727273,0.472727273,27.56,0.46,,,,,
"Wednesday,-December-27-2023-07:11:27",26.7,79,35.16,,,31.3,0.472727273,28.01,0.45,,,,,
"Wednesday,-December-27-2023-08:11:26",26.7,80,35.16,,,31.85,0.55,28.46,0.45,,,,,
"Wednesday,-December-27-2023-09:11:26",30.8,71,35.09,,,32.4,0.55,28.96,0.5,,,,,
"Wednesday,-December-27-2023-10:11:26",34.7,67,19.37,,,33.25,0.85,29.49,0.53,,,,,
"Wednesday,-December-27-2023-11:11:26",39.6,64,4.22,,,34.1,0.85,30.02,0.53,,,,,
"Wednesday,-December-27-2023-12:11:26",35.6,72,37.02,,,34.95,0.85,30.52,0.5,,,,,
"Wednesday,-December-27-2023-14:11:37",59.6,39,37.8,,,35.8,0.85,30.96,0.44,,,,,
"Wednesday,-December-27-2023-15:11:37",53.3,46,37.17,,,36.65,0.85,31.47,0.51,,,,,
"Wednesday,-December-27-2023-16:11:38",43,62,37.51,,,37.4,0.75,32.06,0.59,,,,,
"Wednesday,-December-27-2023-17:11:37",47.7,53,36.85,,,38.15,0.75,32.75,0.69,,,,,
"Wednesday,-December-27-2023-18:11:37",41.6,63,37.61,,,38.9,0.75,33.8,1.05,,,,,
"Wednesday,-December-27-2023-19:11:37",35.6,70,36.31,,,39.65,0.75,34.92,1.12,,,,,
"Wednesday,-December-20-2023-09:50:38",41.1,72,39.17,,,40.15,0.5,36.05,1.13,,,,,
"Wednesday,-December-20-2023-09:50:39",40.5,66,39.27,,,41.025,0.875,37.17,1.12,,,,,
"Wednesday,-December-20-2023-09:50:40",36.9,71,38.39,,,41.9,0.875,38.25,1.08,,,,,
"Wednesday,-December-20-2023-09:50:41",29.3,82,37.88,,,42.54666667,0.646666667,39.08,0.83,,,,,
"Wednesday,-December-20-2023-09:50:42",28.3,83,37.61,,,43.19333333,0.646666667,39.82,0.74,,,,,
"Wednesday,-December-20-2023-09:50:43",27.1,83,37.24,,,43.84,0.646666667,40.52,0.7,,,,,
"Wednesday,-December-20-2023-09:50:44",26.7,82,36.19,,,44.48666667,0.646666667,41.2,0.68,,,,,
"Wednesday,-December-20-2023-09:50:45",26.2,82,36.02,,,45.13333333,0.646666667,41.87,0.67,,,,,
"Wednesday,-December-20-2023-09:50:46",25.3,81,35.31,,,45.78,0.646666667,42.55,0.68,,,,,
"Wednesday,-December-20-2023-09:50:47",25.3,82,35.58,,,46.42666667,0.646666667,43.2,0.65,,,,,
"Wednesday,-December-20-2023-09:50:48",25.3,81,34.82,,,47.07333333,0.646666667,43.85,0.65,,,,,
"Wednesday,-December-20-2023-09:50:49",25.2,82,35.92,,,47.72,0.646666667,44.49,0.64,,,,,
"Wednesday,-December-20-2023-09:50:50",24.9,82,34.6,,,48.36666667,0.646666667,45.16,0.67,,,,,
"Wednesday,-December-20-2023-09:50:51",24.8,82,34.77,,,49.01333333,0.646666667,45.82,0.66,,,,,
"Wednesday,-December-20-2023-09:50:52",24.5,83,34.51,,,49.66,0.646666667,46.47,0.65,,,,,
"Wednesday,-December-20-2023-09:50:53",24.5,83,34.36,,,50.30666667,0.646666667,47.12,0.65,,,,,
"Wednesday,-December-20-2023-09:50:54",26.2,80,34.33,,,50.95333333,0.646666667,47.78,0.66,,,,,
"Wednesday,-December-20-2023-09:50:55",27.6,80,33.92,,,51.6,0.646666667,48.4,0.62,,,,,
"Wednesday,-December-20-2023-09:50:56",30.8,75,31.75,,,52.1125,0.5125,48.99,0.59,,,,,
"Wednesday,-December-20-2023-09:50:57",41.6,62,33.11,,,52.625,0.5125,49.68,0.69,,,,,
"Wednesday,-December-20-2023-09:50:58",60.1,22,33.46,,,53.1375,0.5125,50.37,0.69,,,,,
"Wednesday,-December-20-2023-09:50:59",55.4,47,33.85,,,53.65,0.5125,51.07,0.7,,,,,
"Wednesday,-December-20-2023-09:50:60",50.5,56,33.99,,,55.2375,1.5875,51.87,0.8,,,,,
"Thursday, January 04, 2024, 11:32:47",29.3,85,41.27,56.6,1.15,56.6,1.1,52.92,1.05,,,,,
"Thursday, January 04, 2024, 12:32:47",41.1,67,41.32,57.52,0.87,57.55,0.95,54.03,1.11,,,,,
"Thursday, January 04, 2024, 13:32:47",52.3,57,41.54,58.1,0.58,58.15,0.6,54.99,0.96,,,,,
"Thursday, January 04, 2024, 14:30:45",48.2,64,41.27,58.88,0.78,58.9,0.75,56.21,1.22,,,,,
"Thursday, January 04, 2024, 15:28:19",46.2,60,34.8,59.96,1.08,59.95,1.05,57.39,1.18,,,,,
"Thursday, January 04, 2024, 16:27:59",53.8,49,31.79,60.85,0.89,60.8,0.85,58.6,1.21,,,,,
"Thursday, January 04, 2024, 17:29:48",42.6,63,29.3,62.57,0.83,62,0.6,59.8,1.2,,,,,
"Thursday, January 04, 2024, 18:29:57",36.4,73,26.69,63.35,0.78,62.55,0.55,60.98,1.18,,,,,
"Thursday, January 04, 2024, 19:30:05",32.7,78,26.01,64.07,0.72,63.2,0.65,62.05,1.07,,,,,
"Thursday, January 04, 2024, 20:30:15",29,85,25.37,64.82,0.75,64.15,0.95,63.07,1.02,,,,,
"Thursday, January 04, 2024, 21:30:26",27.6,85,25.3,65.6,0.78,65.1,0.95,64.11,1.04,,,,,
"Thursday, January 04, 2024, 22:30:35",27.1,85,23.81,66.4,0.8,66.05,0.95,65.15,1.04,,,,,
"Thursday, January 04, 2024, 23:31:00",26.2,84,25.03,67.17,0.77,67,0.95,66.26,1.11,,,,,
"Friday, January 05, 2024, 00:32:10",26.2,84,25.25,67.94,0.77,68,1,67.36,1.1,,,,,
"Friday, January 05, 2024, 01:32:20",26.2,83,25.1,68.69,0.75,68.95,0.95,68.45,1.09,,,,,
"Friday, January 05, 2024, 02:32:30",26.2,84,25.1,69.46,0.77,69.9,0.95,69.54,1.09,,,,,
"Friday, January 05, 2024, 03:32:39",25.8,84,25.47,70.23,0.77,70.85,0.95,70.6,1.06,,,,,
"Friday, January 05, 2024, 04:32:49",25.8,84,24.57,71,0.77,71.85,1,71.66,1.06,,,,,
"Friday, January 05, 2024, 05:32:58",25.3,84,24.74,71.72,0.72,73,1.15,72.73,1.07,,,,,
"Friday, January 05, 2024, 06:33:08",25.3,84,24.76,72.44,0.72,73.75,0.75,73.79,1.06,,,,,
"Friday, January 05, 2024, 07:33:17",24.8,84,22.86,73.18,0.74,74.7,0.95,74.85,1.06,,,,,
"Friday, January 05, 2024, 08:33:26",25.3,83,23.69,73.87,0.69,75.65,0.95,75.89,1.04,,,,,
"Friday, January 05, 2024, 09:33:36",27.1,81,22.91,74.58,0.71,76.65,1,76.89,1,,,,,
"Friday, January 05, 2024, 10:33:46",30.7,75,33.46,75.22,0.64,77.6,0.95,77.78,0.89,,,,,
"Friday, January 05, 2024, 11:33:56",33.8,74,31.16,75.96,0.74,78.45,0.85,78.65,0.87,,,,,
"Friday, January 05, 2024, 12:34:06",36.9,70,30.72,76.78,0.82,79.3,0.85,79.45,0.8,,,,,
"Friday, January 05, 2024, 13:34:15",44.8,60,29.11,77.61,0.83,80.15,0.85,80.18,0.73,,,,,
"Friday, January 05, 2024, 14:34:28",58.5,43,27.64,78.69,1.08,81,0.85,81.04,0.86,,,,,
"Friday, January 05, 2024, 15:34:37",60.1,35,16.7,79.74,1.05,82.3,1.3,81.91,0.87,,,,,
"Friday, January 05, 2024, 16:34:47",60.1,28,17.63,80.78,1.04,83.6,1.3,82.81,0.9,,,,,
"Friday, January 05, 2024, 17:34:57",44.4,62,16.53,81.61,0.83,84.95,1.35,83.57,0.76,,,,,
"Friday, January 05, 2024, 18:35:09",39,67,0,82.37,0.76,86.25,1.3,84.32,0.75,,,,,
"Friday, January 05, 2024, 19:35:20",35.2,69,43.52,83.07,0.7,87.5,1.3,85.41,1.09,,,,,
